name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
Goof Troop,2,120,6.5,38.122,ABC,1992-09-05,1992-12-05,Ended,FALSE,91
The Fall Guy,5,120,7.6,165.791,ABC,1981-11-04,1986-05-02,Ended,FALSE,1640
The Crossing,1,120,7.038,18.757,ABC,2018-04-02,2018-06-09,Ended,FALSE,68
The Charlie Brown and Snoopy Show,2,120,7.6,7.501,CBS,1983-09-17,1985-10-12,Ended,FALSE,756
Star-Crossed,1,120,6.888,11.932,The CW,2014-02-17,2014-05-12,Canceled,FALSE,84
Anatomy of a Scandal,1,120,7.071,13.197,Netflix,2022-04-15,2022-04-15,Ended,FALSE,0
The Consultant,1,120,7.004,17.712,Prime Video,2023-02-23,2023-02-23,Returning Series,TRUE,0
The All New Pink Panther Show,1,120,7.567,39.747,ABC,1978-09-09,1978-12-23,Canceled,FALSE,105
The Minions of Midas,1,119,6.819,7.295,Netflix,2020-11-13,2020-11-13,Ended,FALSE,0
Mork & Mindy,4,119,7.004,18.815,ABC,1978-09-14,1982-05-27,Ended,FALSE,1351
Aggretsuko,5,119,7.328,26.387,Netflix,2018-04-20,2023-02-16,Ended,FALSE,1763
Greenhouse Academy,4,119,7.71,15.792,Netflix,2017-09-08,2020-03-20,Canceled,FALSE,924
Mortel,2,119,7.445,9.501,Netflix,2019-11-21,2021-07-02,Canceled,FALSE,589
Scooby's All-Star Laff-A-Lympics,2,119,8.322,10.954,ABC,1977-09-10,1978-10-28,Ended,FALSE,413
Growing Pains,7,118,6.703,23.239,ABC,1985-09-24,1992-04-25,Ended,FALSE,2405
The Snow Girl,1,118,7.3,19.582,Netflix,2023-01-27,2023-01-27,Ended,FALSE,0
The Diplomat,1,118,7.606,23.953,Netflix,2023-04-20,2023-04-20,Returning Series,TRUE,0
NYPD Blue,12,118,7.123,156.108,ABC,1993-09-21,2005-03-01,Ended,FALSE,4179
The Path,3,118,6.59,12.497,Hulu,2016-03-30,2018-03-28,Canceled,FALSE,728
The One,1,118,6.733,8.678,Netflix,2021-03-12,2021-03-12,Ended,FALSE,0
Smiley,1,118,8.411,13.025,Netflix,2022-12-07,2022-12-07,Canceled,FALSE,0
My Brilliant Friend,4,117,8.3,24.864,HBO,2018-11-18,2022-02-27,Returning Series,TRUE,1197
My Only Love Song,1,117,8.167,10.25,Netflix,2017-07-01,2017-07-01,Ended,FALSE,0
Medical Police,1,117,6.603,16.88,Netflix,2020-01-10,2020-01-10,Canceled,FALSE,0
Keep Breathing,1,117,6.3,11.646,Netflix,2022-07-28,2022-07-28,Ended,FALSE,0
Hawaii Five-O,12,116,7,274.065,CBS,1968-09-20,1980-04-05,Ended,FALSE,4215
The Bold and the Beautiful,37,116,5.569,179.369,CBS,1987-03-23,2023-09-25,Returning Series,TRUE,13335
Romantic Killer,1,116,8.655,37.202,Netflix,2022-10-27,2022-10-27,Ended,FALSE,0
Night Sky,1,116,7.069,12.072,Prime Video,2022-05-19,2022-05-19,Canceled,FALSE,0
The Billion Dollar Code,1,116,8.121,13.286,Netflix,2021-10-07,2021-10-07,Ended,FALSE,0
Melrose Place,7,116,5.763,31.194,FOX,1992-07-08,1999-05-24,Ended,FALSE,2511
50M²,1,115,7.448,9.99,Netflix,2021-01-27,2021-01-27,Ended,FALSE,0
Elite Short Stories: Phillipe Caye Felipe,1,115,6.726,9.368,Netflix,2021-12-15,2021-12-15,Ended,FALSE,0
Ultraman,3,115,7.083,24.889,Netflix,2019-04-01,2023-05-11,Ended,FALSE,1501
Obsession,1,114,6.614,37.467,Netflix,2023-04-13,2023-04-13,Ended,FALSE,0
Alien Nation,1,114,7.035,10.715,FOX,1989-09-18,1990-05-07,Ended,FALSE,231
21 Jump Street,5,114,6.9,193.748,FOX,1987-04-12,1991-04-27,Ended,FALSE,1476
Room 104,4,113,5.783,25.18,HBO,2017-07-28,2020-10-09,Ended,FALSE,1169
The Looming Tower,1,113,7.3,9.722,Hulu,2018-02-28,2018-04-18,Ended,FALSE,49
Challenger: The Final Flight,1,113,7.08,7.955,Netflix,2020-09-16,2020-09-16,Ended,FALSE,0
Light as a Feather,2,112,8.17,28.033,Hulu,2018-10-12,2019-10-04,Canceled,FALSE,357
My So-Called Life,1,112,7.559,29.122,ABC,1994-08-25,1995-01-26,Canceled,FALSE,154
Once Upon a Time in Wonderland,1,112,7,19.377,ABC,2013-10-10,2014-04-03,Canceled,FALSE,175
Space: Above and Beyond,1,112,7.2,49.255,FOX,1995-09-24,1996-06-02,Canceled,FALSE,252
The Mechanism,2,112,7.147,7.422,Netflix,2018-03-23,2019-05-10,Ended,FALSE,413
Looking,2,112,7.281,19.707,HBO,2014-01-19,2015-03-22,Canceled,FALSE,427
Too Old to Die Young,1,112,7.455,10.141,Prime Video,2019-06-10,2019-06-10,Ended,FALSE,0
Transformers: War for Cybertron: Earthrise,1,112,7.674,9.103,Netflix,2020-12-30,2020-12-30,Ended,FALSE,0
Godzilla: The Series,2,112,7.8,64.911,FOX,1998-09-12,2000-04-22,Canceled,FALSE,588
LEGO Friends: The Power of Friendship,1,111,7.676,6.064,Netflix,2016-03-04,2016-06-10,Ended,FALSE,98
Carmen Sandiego,4,111,7.829,25.498,Netflix,2019-01-18,2021-01-15,Ended,FALSE,728
Easy,3,110,6.409,21.47,Netflix,2016-09-22,2019-05-10,Ended,FALSE,960
The Late Late Show with James Corden,8,110,5.55,1396.094,CBS,2015-03-23,2023-04-27,Ended,FALSE,2957
American Crime,3,110,6.764,13.205,ABC,2015-03-05,2017-04-30,Canceled,FALSE,787
The Underground Railroad,1,110,7.455,15.302,Prime Video,2021-05-13,2021-05-13,Ended,FALSE,0
Super Friends,9,109,7.729,59.528,ABC,1973-09-08,1985-10-26,Ended,FALSE,4431
The Last Czars,1,109,7.307,12.219,Netflix,2019-07-03,2019-07-03,Ended,FALSE,0
Patriot,2,109,7.876,16.035,Prime Video,2015-11-03,2018-11-08,Canceled,FALSE,1101
Big Love,5,109,7,19.161,HBO,2006-03-12,2011-03-20,Ended,FALSE,1834
Blue Thunder,1,108,6.972,10.702,ABC,1984-01-06,1984-04-16,Canceled,FALSE,101
Pieces of Her,1,108,6.486,15.008,Netflix,2022-03-04,2022-03-04,Ended,FALSE,0
Q-Force,1,108,7.005,7.489,Netflix,2021-09-02,2021-09-02,Canceled,FALSE,0
Marvel's Hit-Monkey,1,108,7.991,13.905,Hulu,2021-11-17,2021-11-17,Returning Series,TRUE,0
Interview with the Vampire,2,108,7.375,15.899,AMC,2022-10-02,2022-11-13,Returning Series,TRUE,42
The Gilded Age,2,108,7.889,29.882,HBO,2022-01-24,2022-03-21,Returning Series,TRUE,56
Hilda,3,108,8.097,19.96,Netflix,2018-09-21,2020-12-14,Returning Series,TRUE,815
The Right Stuff,1,107,7.238,13.261,Disney+,2020-10-09,2020-11-20,Canceled,FALSE,42
Shark Tank,15,107,6.724,137.46,ABC,2009-08-09,2023-09-29,Returning Series,TRUE,5164
The Time It Takes,1,107,6.93,9.007,Netflix,2021-10-29,2021-10-29,Ended,FALSE,0
The Untouchables,4,107,7.822,40.93,ABC,1959-10-15,1963-05-21,Ended,FALSE,1314
Lenox Hill,1,107,6.7,9.075,Netflix,2020-06-10,2020-06-24,Ended,FALSE,14
Becker,6,107,7.294,28.18,CBS,1998-11-02,2004-01-28,Ended,FALSE,1913
Captain Caveman and the Teen Angels,3,107,6.986,32.126,ABC,1977-09-10,1980-06-21,Ended,FALSE,1015
Shanty Town,1,107,8.6,6.062,Netflix,2023-01-20,2023-01-20,Returning Series,TRUE,0
Voltron: Legendary Defender,8,107,7.4,19.278,Netflix,2016-06-10,2018-12-14,Ended,FALSE,917
Green Frontier,1,106,6.7,9.402,Netflix,2019-08-16,2019-08-16,Ended,FALSE,0
Narco-Saints,1,106,8.189,12.149,Netflix,2022-09-09,2022-09-09,Ended,FALSE,0
Life in Pieces,4,106,7.1,229.127,CBS,2015-09-21,2019-06-27,Canceled,FALSE,1375
Bobby's World,7,106,6.873,19.955,FOX,1990-09-08,1998-02-23,Ended,FALSE,2725
The Santa Clauses,2,106,7.373,14.056,Disney+,2022-11-16,2022-12-14,Returning Series,TRUE,28
The Catch,2,106,6.514,16.66,ABC,2016-03-24,2017-05-11,Canceled,FALSE,413
The Rehearsal,1,106,8.132,8.183,HBO,2022-07-15,2022-08-19,Returning Series,TRUE,35
Blood & Treasure,2,105,6.705,25.491,CBS,2019-05-21,2022-10-02,Canceled,FALSE,1230
The Neighborhood,5,105,7.6,42.09,CBS,2018-10-01,2023-05-22,Returning Series,TRUE,1694
The Beverly Hillbillies,9,105,6.938,153.782,CBS,1962-09-26,1971-03-23,Ended,FALSE,3100
Martin,5,105,7.748,24.491,FOX,1992-08-27,1997-05-01,Ended,FALSE,1708
666 Park Avenue,1,105,6.19,9.167,ABC,2012-09-30,2013-07-13,Canceled,FALSE,286
A Million Little Things,5,104,7.6,183.753,ABC,2018-09-26,2023-05-03,Ended,FALSE,1680
Fake Profile,1,104,7.615,60.372,Netflix,2023-05-31,2023-05-31,Returning Series,TRUE,0
Man with a Plan,4,104,6.736,113.157,CBS,2016-10-24,2020-06-11,Canceled,FALSE,1326
Winning Time: The Rise of the Lakers Dynasty,2,104,7.851,45.689,HBO,2022-03-06,2023-09-17,Canceled,FALSE,560
Crime Diaries: Night Out,1,104,7.3,14.513,Netflix,2019-05-03,2019-05-03,Ended,FALSE,0
Mirzapur,3,104,7.995,23.381,Prime Video,2018-11-15,2020-10-23,Returning Series,TRUE,708
Voyage to the Bottom of the Sea,4,104,7.8,83.08,ABC,1964-09-14,1968-03-31,Ended,FALSE,1294
The Cleaning Lady,2,103,7.806,35.771,FOX,2022-01-03,2022-12-12,Returning Series,TRUE,343
Pandora,2,103,5.534,17.399,The CW,2019-07-16,2020-12-13,Canceled,FALSE,516
Stephen King's Kingdom Hospital,1,103,6.903,8.483,ABC,2004-03-03,2004-07-15,Canceled,FALSE,134
Queer Eye,7,103,7.864,17.662,Netflix,2018-02-07,2023-05-12,Returning Series,TRUE,1920
MADtv,15,103,6.864,1.779,FOX,1995-10-14,2016-09-27,Ended,FALSE,7654
Muppet Babies,7,103,7.913,14.848,CBS,1984-11-05,1990-12-29,Ended,FALSE,2245
Lucky Louie,1,103,7.466,6.673,HBO,2006-06-11,2006-09-03,Ended,FALSE,84
Treme,4,103,7.9,21.218,HBO,2010-04-11,2013-12-29,Ended,FALSE,1358
I'll Be Gone in the Dark,1,103,7.383,9.307,HBO,2020-06-28,2021-06-21,Ended,FALSE,358
The Thorn Birds,1,103,7.214,22.9,ABC,1983-03-27,1983-03-30,Ended,FALSE,3
"Boo, Bitch",1,102,7.377,12.037,Netflix,2022-07-08,2022-07-08,Ended,FALSE,0
The Young Indiana Jones Chronicles,3,102,6.6,57.696,ABC,1992-03-04,2000-09-20,Canceled,FALSE,3122
Hellcats,1,102,7.637,13.798,The CW,2010-09-08,2011-05-17,Canceled,FALSE,251
Party of Five,6,102,6.966,159.635,FOX,1994-09-12,2000-05-03,Ended,FALSE,2060
The School Nurse Files,1,102,7.549,10.082,Netflix,2020-09-25,2020-09-25,Ended,FALSE,0
That '90s Show,2,102,6.971,13.597,Netflix,2023-01-19,2023-01-19,Returning Series,TRUE,0
Undeclared,1,102,7.338,8.634,FOX,2001-09-25,2002-03-12,Canceled,FALSE,168
Abbott Elementary,2,102,7.723,15.233,ABC,2021-12-07,2023-04-19,Returning Series,TRUE,498
Disney Intertwined,2,101,7.5,22.123,Disney+,2021-11-12,2023-05-24,Returning Series,TRUE,558
Family Business,3,101,7.104,9.117,Netflix,2019-06-28,2021-10-08,Ended,FALSE,833
Hand of God,2,101,6.906,12.192,Prime Video,2014-08-28,2017-03-10,Ended,FALSE,925
Triptych,1,101,7.8,30.521,Netflix,2023-02-22,2023-02-22,Ended,FALSE,0
Gotham Knights,1,101,7.203,55.508,The CW,2023-03-14,2023-06-27,Canceled,FALSE,105
Hart to Hart,5,100,6.8,208.586,ABC,1979-09-22,1984-05-22,Ended,FALSE,1704
Conviction,1,100,6.7,15.169,ABC,2016-10-03,2017-01-29,Canceled,FALSE,118
The Family Man,2,100,7.8,18.944,Prime Video,2019-09-20,2021-06-04,Returning Series,TRUE,623
Ghost in the Shell: SAC_2045,2,99,6.641,31.989,Netflix,2020-04-23,2022-05-23,Ended,FALSE,760
The Crazy Ones,1,99,6.1,50.757,CBS,2013-09-26,2014-04-17,Canceled,FALSE,203
Instinct,2,99,7.143,21.27,CBS,2018-03-18,2019-08-25,Canceled,FALSE,525
Wonderfalls,1,99,7.7,9.092,FOX,2004-03-12,2004-12-15,Canceled,FALSE,278
Marvel's 616,1,99,7.5,7.306,Disney+,2020-11-20,2020-11-20,Canceled,FALSE,0
Dead Places,1,99,7.3,5.352,Netflix,2021-04-16,2021-04-16,Returning Series,TRUE,0
The Chair,1,99,6.813,8.461,Netflix,2021-08-20,2021-08-20,Canceled,FALSE,0
The Son,2,99,6.576,14.416,AMC,2017-04-08,2019-06-29,Canceled,FALSE,812
Beetlejuice,4,99,7,29.194,ABC,1989-09-09,1991-12-06,Ended,FALSE,818
Twenty Five Twenty One,1,98,8.597,31.73,Netflix,2022-02-12,2022-04-03,Ended,FALSE,50
Mrs. America,1,98,7.582,10.115,Hulu,2020-04-15,2020-05-27,Ended,FALSE,42
Paper Girls,1,98,7.704,10.078,Prime Video,2022-07-28,2022-07-28,Canceled,FALSE,0
The Puppet Master: Hunting the Ultimate Conman,1,98,6.633,7.686,Netflix,2022-01-18,2022-01-18,Ended,FALSE,0
Criminal Minds: Beyond Borders,2,98,6.847,22.644,CBS,2016-03-16,2017-05-17,Canceled,FALSE,427
The Mire,3,98,6.796,19.482,Netflix,2018-08-19,2021-07-07,Returning Series,TRUE,1053
Ghosted,1,98,6.388,25.834,FOX,2017-10-01,2018-07-22,Canceled,FALSE,294
Ethos,1,98,7.76,9.49,Netflix,2020-11-12,2020-11-12,Ended,FALSE,0
In Living Color,5,97,7.412,173.69,FOX,1990-04-15,1994-05-19,Ended,FALSE,1495
The Devil Next Door,1,97,7.098,9.382,Netflix,2019-11-04,2019-11-04,Ended,FALSE,0
High Water,1,96,6.891,9.789,Netflix,2022-10-05,2022-10-05,Ended,FALSE,0
Pan Am,1,96,6.406,11.254,ABC,2011-09-25,2012-02-19,Canceled,FALSE,147
Blade of the Immortal,1,96,7.2,73.744,Prime Video,2019-10-10,2020-03-26,Ended,FALSE,168
The Crew,1,96,7.083,9.96,Netflix,2021-02-15,2021-02-15,Canceled,FALSE,0
Greenleaf,5,96,7.5,53.697,Netflix,2016-06-21,2020-08-11,Ended,FALSE,1512
The Ricky Gervais Show,3,96,7.24,5.9,HBO,2010-02-19,2012-07-13,Ended,FALSE,875
La Línea: Shadow of Narco,1,96,6.7,9.733,Netflix,2020-09-09,2020-09-09,Ended,FALSE,0
DOM,3,96,7.5,29.339,Prime Video,2021-06-04,2023-04-13,Returning Series,TRUE,678
"BASTARD‼ -Heavy Metal, Dark Fantasy-",2,95,7.5,79.04,Netflix,2022-06-30,2023-07-31,Ended,FALSE,396
The Sons of Sam: A Descent Into Darkness,1,95,7.174,9.241,Netflix,2021-05-05,2021-05-05,Ended,FALSE,0
"Sister, Sister",6,95,7.4,16.702,ABC,1994-04-01,1999-05-23,Ended,FALSE,1878
The Critic,2,94,7.4,11.792,ABC,1994-01-26,1995-05-21,Ended,FALSE,480
Secrets and Lies,2,94,7.489,13.119,ABC,2015-03-01,2016-12-04,Canceled,FALSE,644
Fantasy Island,7,94,6.3,29.002,ABC,1978-01-28,1984-05-19,Ended,FALSE,2303
Chef's Table,6,94,7.793,9.032,Netflix,2015-04-26,2019-02-22,Returning Series,TRUE,1398
The Masked Singer,10,94,8.253,164.218,FOX,2019-01-02,2023-09-27,Returning Series,TRUE,1729
Fear City: New York vs The Mafia,1,94,6.846,5.729,Netflix,2020-07-22,2020-07-22,Ended,FALSE,0
The Rig,1,94,6.713,19.277,Prime Video,2023-01-06,2023-01-06,Returning Series,TRUE,0
Dispatches from Elsewhere,1,93,6.9,8.659,AMC,2020-03-01,2020-04-27,Ended,FALSE,57
Daisy Jones & the Six,1,93,8.177,18.086,Prime Video,2023-03-02,2023-03-23,Ended,FALSE,21
Chosen,1,93,6.387,20.375,Netflix,2022-01-27,2022-01-27,Ended,FALSE,0
Boundless,1,93,7.457,11.292,Prime Video,2022-06-17,2022-06-17,Ended,FALSE,0
Halston,1,93,7.188,8.357,Netflix,2021-05-14,2021-05-14,Ended,FALSE,0
Tales of the Walking Dead,1,93,7.398,56.23,AMC,2022-08-14,2022-09-18,Returning Series,TRUE,35
The Bastard Son & the Devil Himself,1,93,7.78,15.957,Netflix,2022-10-28,2022-10-28,Canceled,FALSE,0
Find Me in Paris,3,93,8.5,53.388,Hulu,2018-07-20,2020-08-21,Ended,FALSE,763
Inside Bill's Brain: Decoding Bill Gates,1,93,7.312,9.842,Netflix,2019-09-20,2019-09-20,Ended,FALSE,0
Beyond Stranger Things,1,92,7.424,10.486,Netflix,2017-10-27,2017-10-27,Ended,FALSE,0
Dear Child,1,92,7.614,148.294,Netflix,2023-09-07,2023-09-07,Ended,FALSE,0
Combat!,5,92,7.5,51.562,ABC,1962-10-02,1967-03-14,Ended,FALSE,1624
Seven Seconds,1,92,7.37,9.594,Netflix,2018-02-23,2018-02-23,Ended,FALSE,0
Diary of a Gigolo,1,92,8.011,21.648,Netflix,2022-09-07,2022-09-07,Returning Series,TRUE,0
Ramy,3,91,7.544,13.102,Hulu,2019-04-19,2022-09-30,Returning Series,TRUE,1260
Ringer,1,91,5.918,7.187,The CW,2011-09-13,2012-04-17,Canceled,FALSE,217
Kleo,1,91,7.033,20.517,Netflix,2022-08-19,2022-08-19,Returning Series,TRUE,0
Speechless,3,91,7.11,15.66,ABC,2016-09-21,2019-04-12,Canceled,FALSE,933
The Jeffersons,11,91,7.379,57.468,CBS,1975-01-18,1985-07-02,Ended,FALSE,3818
Diagnosis: Murder,8,91,7.187,58.449,CBS,1993-10-29,2001-05-11,Ended,FALSE,2751
Rubicon,1,90,7.617,7.016,AMC,2010-06-13,2010-10-17,Canceled,FALSE,126
Titanic,1,90,5.911,15.358,CBS,1996-11-17,1996-11-19,Ended,FALSE,2
High Maintenance,4,90,7,16.041,HBO,2016-09-16,2020-04-03,Ended,FALSE,1295
The New Scooby-Doo Mysteries,1,90,8.433,37.128,ABC,1984-09-08,1984-12-01,Ended,FALSE,84
3Below: Tales of Arcadia,2,90,7.461,20.207,Netflix,2018-12-21,2019-07-12,Ended,FALSE,203
Friends from College,2,90,6.333,14.665,Netflix,2017-07-14,2019-01-11,Canceled,FALSE,546
MH370: The Plane That Disappeared,1,90,6.989,12.051,Netflix,2023-03-08,2023-03-08,Ended,FALSE,0
The Movies That Made Us,3,89,7.2,17.213,Netflix,2019-11-29,2021-10-12,Returning Series,TRUE,683
Family Reunion,3,89,8.219,26.57,Netflix,2019-07-10,2022-10-27,Ended,FALSE,1205
From the Earth to the Moon,1,89,8.202,15.022,HBO,1998-04-05,1998-05-10,Ended,FALSE,35
Elite Short Stories: Patrick,1,89,6.778,8.88,Netflix,2021-12-23,2021-12-23,Ended,FALSE,0
The Imperfects,1,89,7.169,15.479,Netflix,2022-09-08,2022-09-08,Canceled,FALSE,0
Explained,3,89,7.6,15.85,Netflix,2018-05-23,2021-10-15,Ended,FALSE,1241
Alien TV,2,89,6.618,7.142,Netflix,2020-08-21,2021-03-19,Ended,FALSE,210
Wet Hot American Summer: Ten Years Later,1,89,6.455,14.988,Netflix,2017-08-04,2017-08-04,Ended,FALSE,0
28 Days Haunted,1,88,7.142,14.351,Netflix,2022-10-21,2022-10-21,Returning Series,TRUE,0
Dogs of Berlin,1,88,7.108,9.906,Netflix,2018-12-07,2018-12-07,Ended,FALSE,0
Angry Birds: Summer Madness,3,88,7.3,25.054,Netflix,2022-01-28,2022-08-25,Returning Series,TRUE,209
The Confession Killer,1,87,7.333,5.919,Netflix,2019-12-06,2019-12-06,Ended,FALSE,0
Karma’s World,4,87,7.126,12.586,Netflix,2021-10-15,2022-09-22,Returning Series,TRUE,342
"The Mind, Explained",2,87,7.546,9.265,Netflix,2019-09-12,2021-11-19,Canceled,FALSE,799
Kojak,5,87,6.8,16.482,CBS,1973-10-24,1978-03-18,Ended,FALSE,1606
Dancing with the Stars,32,87,5.874,301.458,ABC,2005-06-01,2023-09-26,Returning Series,TRUE,6691
The Conners,5,87,7.172,22.051,ABC,2018-10-16,2023-05-03,Returning Series,TRUE,1660
Hello Ladies,1,87,6.799,10.163,HBO,2013-09-29,2013-11-17,Canceled,FALSE,49
The Adventures of Aquaman,1,87,7.1,53.842,CBS,1967-09-09,1968-03-17,Ended,FALSE,190
Clerks,1,86,7.012,9.495,ABC,2000-05-31,2002-12-22,Canceled,FALSE,935
The Muppets,1,86,7.105,14.502,ABC,2015-09-22,2016-03-01,Ended,FALSE,161
The Innocents,1,86,5.9,12.253,Netflix,2018-08-24,2018-08-24,Canceled,FALSE,0
We Children from Bahnhof Zoo,1,86,6.593,12.096,Prime Video,2021-02-19,2021-02-19,Ended,FALSE,0
Gunsmoke,20,86,6.7,24.694,CBS,1955-09-10,1975-03-31,Ended,FALSE,7142
Once Upon a Small Town,1,86,7.942,15.68,Netflix,2022-09-05,2022-09-28,Ended,FALSE,23
McMillion$,1,86,7.093,6.08,HBO,2020-02-03,2020-03-09,Ended,FALSE,35
Spycraft,1,86,6.884,7.275,Netflix,2021-01-20,2021-01-20,Ended,FALSE,0
The All-New Super Friends Hour,1,85,7.4,89.895,ABC,1977-09-10,1977-12-16,Ended,FALSE,97
Trainwreck: Woodstock '99,1,85,7.282,4.742,Netflix,2022-08-03,2022-08-03,Ended,FALSE,0
Who Is Erin Carter?,1,85,7.353,69.793,Netflix,2023-08-24,2023-08-24,Ended,FALSE,0
Dawn of the Croods,4,85,7.588,281.934,Netflix,2015-12-24,2017-07-07,Ended,FALSE,561
The Greatest American Hero,3,85,7.353,26.683,ABC,1981-03-18,1983-03-03,Ended,FALSE,715
The View,27,85,4.6,350.84,ABC,1997-08-11,2023-10-02,Returning Series,TRUE,9548
"Doogie Howser, M.D.",4,85,6.635,127.165,ABC,1989-09-19,1993-03-24,Ended,FALSE,1282
Eek! The Cat,5,85,6.8,138.061,FOX,1992-09-11,1996-02-06,Ended,FALSE,1243
The Vow,2,85,7.188,13.611,HBO,2020-08-23,2022-11-21,Ended,FALSE,820
Juvenile Justice,1,85,7.947,14.269,Netflix,2022-02-25,2022-02-25,Ended,FALSE,0
Blockbuster,1,84,5.607,14.13,Netflix,2022-11-03,2022-11-03,Canceled,FALSE,0
The Sound of Magic,1,84,7.8,29.843,Netflix,2022-05-06,2022-05-06,Ended,FALSE,0
Tidelands,1,84,6.452,16.076,Netflix,2018-12-14,2018-12-14,Ended,FALSE,0
Kitz,1,84,7.102,6.064,Netflix,2021-12-30,2021-12-30,Ended,FALSE,0
First Love,1,84,8.214,14.668,Netflix,2022-11-24,2022-11-24,Ended,FALSE,0
The A List,2,83,6.7,30.557,Netflix,2018-10-25,2021-06-25,Ended,FALSE,974
Rush Hour,1,83,5.265,12.931,CBS,2016-03-31,2016-08-20,Canceled,FALSE,142
Top Boy,3,83,8.133,57.06,Netflix,2019-09-13,2023-09-07,Ended,FALSE,1455
In From the Cold,1,83,6.892,13.558,Netflix,2022-01-28,2022-01-28,Returning Series,TRUE,0
Physical: 100,2,83,7.669,29.046,Netflix,2023-01-24,2023-02-21,Ended,FALSE,28
Carmel: Who Killed Maria Marta?,1,83,7.434,5.188,Netflix,2020-11-05,2020-11-05,Ended,FALSE,0
Turning Point: 9/11 and the War on Terror,1,83,7.287,9.194,Netflix,2021-09-01,2021-09-01,Ended,FALSE,0
George Lopez,6,82,7.689,7.747,ABC,2002-03-27,2007-05-08,Canceled,FALSE,1868
True Story,1,82,7.171,15.695,Netflix,2021-11-24,2021-11-24,Ended,FALSE,0
Transformers: War for Cybertron: Kingdom,1,82,7.774,6.995,Netflix,2021-07-29,2021-07-29,Ended,FALSE,0
Immigration Nation,1,82,6.9,5.315,Netflix,2020-08-03,2020-08-03,Ended,FALSE,0
Harry & Meghan,1,82,6.451,7.314,Netflix,2022-12-08,2022-12-15,Ended,FALSE,7
Mr. Iglesias,3,82,7.726,12.988,Netflix,2019-06-21,2020-12-08,Canceled,FALSE,536
Swarm,1,82,6.829,17.264,Prime Video,2023-03-16,2023-03-16,Ended,FALSE,0
Defenders of the Earth,1,82,7.6,95.583,FOX,1986-09-08,1986-12-05,Ended,FALSE,88
Disjointed,1,82,5.768,30.235,Netflix,2017-08-25,2018-01-12,Canceled,FALSE,140
Nash Bridges,6,81,6.679,24.81,CBS,1996-03-29,2001-05-04,Ended,FALSE,1862
Criminal Minds: Suspect Behavior,1,81,7.031,14.831,CBS,2011-02-16,2011-05-25,Canceled,FALSE,98
Shark,2,81,7,17.962,CBS,2006-09-21,2008-05-20,Canceled,FALSE,607
The Archie Show,1,81,8.025,31.796,CBS,1968-06-14,1968-10-04,Ended,FALSE,112
Red Oaks,3,81,7.438,11.21,Prime Video,2014-08-28,2017-10-19,Ended,FALSE,1148
The Practice,8,81,7.8,53.517,ABC,1997-03-04,2004-05-16,Ended,FALSE,2630
Fantastic Four,1,81,7.3,14.791,ABC,1967-09-09,1968-09-21,Canceled,FALSE,378
Deputy,1,81,7.012,13.688,FOX,2020-01-02,2020-03-26,Canceled,FALSE,84
Richie Rich,4,81,6.395,11.267,ABC,1980-11-08,1983-09-24,Returning Series,TRUE,1050
History 101,2,80,7.025,14.936,Netflix,2020-05-22,2022-08-25,Returning Series,TRUE,825
Day Break,1,80,7.356,14.786,ABC,2006-11-15,2008-03-22,Ended,FALSE,493
CHIVAS: El Rebaño Sagrado,1,80,7.438,6.548,Prime Video,2021-06-17,2021-06-17,Ended,FALSE,0
Naomi,1,80,6.188,15.902,The CW,2022-01-11,2022-05-10,Canceled,FALSE,119
LOL: Last One Laughing Italy,3,80,7.15,12.285,Prime Video,2021-04-01,2023-03-16,Returning Series,TRUE,714
A League of Their Own,1,79,7.114,11.294,Prime Video,2022-08-11,2022-08-11,Canceled,FALSE,0
Lady Voyeur,1,79,6.861,36.741,Netflix,2023-01-01,2023-01-01,Ended,FALSE,0
Irma Vep,1,79,6.785,17.591,HBO,2022-06-06,2022-07-25,Ended,FALSE,49
All Rise,3,79,7.766,48.128,CBS,2019-09-23,2023-09-30,Returning Series,TRUE,1468
Delhi Crime,2,79,7.766,8.862,Netflix,2019-03-22,2022-08-26,Returning Series,TRUE,1253
Ransom,3,79,6.4,30.664,CBS,2017-01-01,2019-05-25,Canceled,FALSE,874
Tom & Jerry Kids Show,4,78,6.051,189.862,FOX,1990-09-08,1993-12-04,Ended,FALSE,1183
Selfie,1,78,6.41,8.207,ABC,2014-09-30,2014-12-30,Canceled,FALSE,91
Perfect Strangers,8,78,6.756,37.281,ABC,1986-03-25,1993-08-06,Ended,FALSE,2691
The Dick Van Dyke Show,5,78,7.436,198.296,CBS,1961-10-03,1966-06-01,Ended,FALSE,1702
Proven Innocent,1,78,7.449,12.124,FOX,2019-02-15,2019-05-10,Canceled,FALSE,84
The Kids in the Hall,5,77,7.396,119.125,HBO,1989-10-24,1995-04-15,Ended,FALSE,1999
Street Hawk,1,77,7,7.851,ABC,1985-01-04,1985-05-16,Ended,FALSE,132
The Bourne Identity,1,77,6.494,11.518,ABC,1988-05-08,1988-05-09,Ended,FALSE,1
Missing,1,77,6.286,6.855,ABC,2012-03-15,2012-05-17,Canceled,FALSE,63
The Late Late Show with Craig Ferguson,11,77,7.065,2898.984,CBS,2005-01-03,2014-12-19,Ended,FALSE,3637
